Address,Bedrooms,Bathrooms,Last Update,Tenancy period,Viewed,Rated by,Rating,Subratings,author_name,author_role,comment_body,comment_time,Rent
"Flat 1
85 Palace Road
LONDON
SW2 3LB
UNITED KINGDOM",3,2,Dec 29 2022,Jul 2020 - Jul 2021,5 times,wolfishere,4.9/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0', 'Brightness': '0.35', 'Noise Levels': '0.25', 'Rodents/Insects': '1', 'Induction': '0.25', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '1'}",Wolfishere,Tenant,"The landlord here will make your experience awful. Firstly he overcharges for the property (like most landlords) but what is cheeky about this landlord is the property not only is a basement with hardly any light, it also comes with problems such as damp, mould & leaking. For a whole 6 months I had to sleep in a bedroom with black mould covering the wall as the landlord took ages to do something about it. What was funny was when we started investigating the room, we could see he had simply painted over other areas where the black mould appeared. He likes to solve his problems with a plaster - minimum costs. What’s worse is when we complain he begins to complain back at us stating we are difficult tenants. However, our complaints were fair, professional and polite. He clearly just didn’t like a group of tenants actually making the effort to try and create change. He actually made my girlfriend feel distressed when interacting with him. At the end of our tenancy he tried to get us to pay for a full professional deep clean (from our own pockets) which costs around £100. However, at the time the new law came in that doesn’t require tenants to do that anymore - so we insisted we would do it ourselves. It took us a lot of arguments to finally get him to back off. He then came to inspect the house after we finished (which was funny because he’d never made the effort to come out to the house when other problems were happening). We had cleaned the house spotless so he had nothing to complain about. I do not recommend this house. It’s not worth it. It’s a basement, with lots of problems, no light and an awful stress inducing landlord. Go waste your money elsewhere!",29-12-2022 05:29 AM,£2100
5 Firemens Flats Glebe Road London N8,2,1,Mar 13 2017,Dec 2016 - Jan 2017,154 times,speranza072,3.2/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '', 'Safety': '0.75', 'Traffic': '', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': ''}",Hopita072,Tenant,The place was in a terrible condition when we entered and when we complained about it they only did the minimum. We weren\'t showed where meter reading was and it worked with a chargeable key. The place has a bathroom with sink and bathtub that need replacing.  And a separate WC,13-03-2017 01:04 PM,£1650
17 Canford Road Bournemouth,2,1,May 08 2016,Sep 2011 - Sep 2016,100 times,formula,4.0/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.35', 'Noise Levels': '0', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '0.5', 'Safety': '0.75', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",Formula,Tenant,"this has to be the worst property we have rented i can\'t amend the rental period as it only dates back to 2011 but we moved in here in 2008 to 2010 , the letting agents are Anglotown based in bournemouth area and i can say they are very difficult to work with almost useless , the landlord owns all 4 properties in the block , again i can only say what happened when we lived there and who owned them at the time , but when we viewed this property at first there was a wall in the backroom completely uncovered and the letting agent told us they had a problem with damp but was being fixed , we moved in and though everything was fine until the mould started to come back and it was all over in the hallway in the bedrooms and in the bathroom , it took the threat of contacting Environmental health before anyone did anything , the roof is so damp that we was told that it was in danger of collapse if nothing was done , the paper was hanging off the bedroom walls -  we reported it nothing was done the mould kept coming back we later learned on the day of moving from this property that the house had been riddled with dam for the past 80 years as a neighbour who lived in the street knew the house as a child because it use to belong to her aunt , we had a problem with a noisy neighbour who had moved in next door a couple of months after us the noise was shocking and they purposely intimidated us because we had complained over the noise levels of dance music and children jumping about , this was the final straw that broke the camel\'s back as anglotown and the landlord didn\'t seem to be doing anything about that either , we lost clothes and furniture because the mould had spoiled them in the time we stayed in that property and was very glad to leave , i would not ever rent from Anglotown again.",08-05-2016 06:23 AM,£0
"Flat 2
Wolverton House
Wolverton Avenue
KINGSTON UPON THAMES
KT2 7QE
UNITED KINGDOM",2,1,Mar 25 2019,Jun 2018 - May 2019,5 times,flora,9.4/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£1200
39 Fordwych Road London NW2,1,1,Oct 21 2016,Jul 2016 - Dec 2016,52 times,ms-rawal,7.4/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '0.75', 'Traffic': '0.5', 'Energy Bills': '0.25', 'Landlord/Agents': '0.5', 'Deposit refund': '1'}",,,,,£932
77 Church Street Staines-upon-Thames,0,0,May 05 2015,Oct 2013 - May 2015,83 times,praffcool,9.2/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0', 'Landlord/Agents': '1.5', 'Deposit refund': ''}",,,,,£0
134D Inveresk Road Musselburgh,0,0,Aug 29 2015,Sep 2014 - Aug 2015,440 times,Cordii Toennies ,8.4/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '0.75', 'Traffic': '0.3', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': ''}",,,,,£0
"7 Thurlow Close
LONDON
E4 9XE
UNITED KINGDOM",1,1,Nov 11 2018,Jan 2017 - Jan 2019,7 times,e4highams,7.0/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0', 'Brightness': '0.75', 'Noise Levels': '0', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '0', 'Safety': '1.5', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': ''}",E4Highams,Tenant,"The flat is a one double bedroom, with bathroom, open-plan kitchen and living room and a cupboard. It is managed by a letting agency (currently Edward Taub) and the owner does not wish to deal with tenants directly. It is well maintained overall, but in need of TLC and some upgrades. The selling points: it is light thanks to 4 windows. Downsides: drafts, noisy neighbours, difficulty in keeping it warm, yearly rent increases. 
The flooring is nice in the corridor and living room, where you find a light wood laminate flooring, and also in the kitchen area, with dark tiles. Where it needs fixing: cracked tiles in the lavatory and extremely consumed carpet in the bedroom. The flat has a C EPC rating on paper but while it does have double glazing, window frames are old and there are drafts from around every window (and from underneath the bath tub!). The flat has two storage heaters (living room and corridor) and one regular heater in the bedroom. Due to the inefficiency of storage heating, the flat results tricky to keep warm (and even more difficult is to replace air during the day, because you\'d lose all heath). The landlord complained that all tenants find them difficult to operate, which is why a third storage heater in the bedroom was replaced with a normal heater. The storage heater in the corridor is positioned directly underneath the opening to the rooftop, which is separated by a flimsy piece of wood (read: the heat goes straight up and is dispersed too easily). Two light fixtures (living room and bedroom) leave holes in the ceiling exposed. The bedroom is a very small double (I could not add a headboard to the bed because it wouldn\'t leave enough room to walk around the bed) with very consumed brown carpet which is clean, but should be replaced as time has clearly eaten it away. A built-in closet completes the room, but a regular closet would have been much better (the closet is awkwardly organized) and could have sliding doors to maximize space) and a big rod with brown curtains. 
The bathroom is functional with tub and electric shower and a very old down flow electric heater that looks like something from the 80s (read: never tested due to safety concerns). There are no windows in the bathroom , only a noisy fan connected to the light switch. The living room/kitchen area is nice and the three windows give it plenty of light. The sun hits the window only in the early morning, so it does not help to warm up the rooms. The kitchen has generous cabinet space and has an open plan, with an island against the wall (but not enough counter to use stools). The small fridge unit was replaced at the beginning of the tenancy because the previous tenant had broken the door of the freezer unit. No dishwasher. The washer is a Hotpoint Aquarius WD420 and unfortunately only works with pre-set programs (can\'t select water temperature and speed of spin cycle). The electric hobs are also need tlc: there are no marks whatsoever, so it is hard to figure which way to turn the knobs and some of the indicators telling which hob you\'re using also don\'t work  (all brought up to the attention of letting agency/owner at the beginning of tenancy but owner preferred not to replace it). There is an oven (never used, so can\'t comment on it) and an extractor fan.
Neighbours are on the noisy side: nexdoor is a crying baby and a child who loves to scream, including at odd hours (1 am!!!) and downstairs neighbours like to play loud music in the afternoons. Had to call police 3 times in the first year for outside disturbances from the building directly in front of 7 Thurlow. No problems the following year, but expect kids playing football against the walls of the building and smoke seeping through doors and windows even though it is banned. Complained about smell of weed (on a daily basis), but nothing ever done. New storage bin area installed and fenced area for laundry were added after the first year: very nice additions. Some tenants/guests have problems understanding how the magnetic door to the building works (must push a button and then push the door), so it was damaged twice in two years, possibly another reason for the yearly rent increases. 
All and all a good temporary accommodation. The letting agency is always willing to help.",11-11-2018 03:42 PM,£900
Flat 36 Paynell Court Lawn Terrace London SE3,0,0,Dec 06 2015,Oct 2014 - Oct 2015,221 times,Tenant22,4.3/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '0.5', 'Safety': '0.75', 'Traffic': '', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",,,,,£0
"Flat 4
105 Holmdene Avenue
LONDON
SE24 9LD
UNITED KINGDOM",2,1,Oct 03 2020,Feb 2018 - Feb 2019,81 times,racheleccles,2.8/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0.75', 'Rodents/Insects': '-5', 'Induction': '0', 'Parking': '', 'Safety': '1.5', 'Traffic': '', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",Racheleccles,Tenant,"The property is nice and the landlord gets things fixed, but there is an issue with huge spiders, so DO NOT LIVE HERE if you have a spider phobia. Regularly, there was a thick spider the size of my palm in the bathroom and kitchen and there were other big, thick spiders in the other rooms. The landlord hired pest control to spray the rooms with insecticide, but this only worked for a coupe of months.",25-11-2020 10:27 AM,
23 Kings Avenue Bishopston Bristol,0,0,Jan 19 2016,Aug 2012 - Aug 2013,869 times,JohnJJ,4.6/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0', 'Rodents/Insects': '1', 'Induction': '0.25', 'Parking': '0.3', 'Safety': '0', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",,,,,£0
10 Kennet Street London E1W,0,0,Feb 23 2016,Dec 2014 - Oct 2015,40 times,oli3000,8.0/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0', 'Brightness': '0.75', 'Noise Levels': '0.25', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£0
21 Heathshott Friars Stile Road Richmond,0,0,Apr 18 2015,Aug 2013 - Jun 2014,31 times,Vijay Rana,9.5/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.25', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£0
"2 Ambassador Square
LONDON
E14 9UX
UNITED KINGDOM",6,5,Mar 28 2021,Aug 2018 - Aug 2019,22 times,student-queen,9.1/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",Student queen,Tenant,"A group of us from queen mary university re yes this lovely refurbed 6 bedroom house which had a HMO which was very difficult to find in Mile End 

The property was amazing to live in and had huge bedrooms throughout with 3 bedrooms which had en-suite 

The letting agent was reiss samuels. When we moved into the house we met with the landlord Mr Rakesh Patel and his assistant  who explained to us all that if we have any issues they were a call away

We only lived here for 12 months as we all split up which was a shame as we had one more year at university I would rate the property a 9/10 and the landlord Mr Rakesh patel a 9/10 he promised what he said we even messaged him once at 2am in the morning and he replied back then as one of us got stuck in the bathroom 

Lovely house and lovely landlord thanks Rakesh patel",28-03-2021 06:21 PM,£4550
"Flat D
10 Printfield Walk
ABERDEEN
AB24 4AW
UNITED KINGDOM",3,1,Jun 23 2019,Aug 2018 - Jul 2019,137 times,davidrossdornan,9.8/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",Davidrossdornan,Tenant,"This is a fantastic property to rent. It has very quiet families upstairs and below with easy free parking on the street outside the property. The flat has everything you need (all utensils and fully furnished). For distance to Aberdeen Uni, it only took me 10 min to walk to campus and buses into town where at the bottom of the street. Trust me this is one of the best flats out there.",23-06-2019 02:13 PM,£300
"Hay Cottage
Newtown
Buckland St. Mary
CHARD
TA20 3TF
UNITED KINGDOM",2,1,Jan 31 2020,Aug 2019 - Feb 2020,6 times,sean1905,8.2/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£585
Cornmarket Deli 2 Cornmarket Worcester,2,2,Jan 27 2018,Jan 2018 - Jan 2018,67 times,testingasktebants,10/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,
Flat 1 9 John Maurice Close London SE17,0,0,Nov 13 2015,Jun 2013 - Sep 2015,329 times,Sydetile87,6.9/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '0.75', 'Traffic': '0.3', 'Energy Bills': '0', 'Landlord/Agents': '1.5', 'Deposit refund': '0'}",,,,,£0
"Flat 1
71 Gloucester Road
CROYDON
CR0 2DL
UNITED KINGDOM",1,1,Apr 11 2023,Jul 2019 - Apr 2023,4 times,aadocherty,7.2/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '', 'Safety': '1.5', 'Traffic': '0', 'Energy Bills': '0.5', 'Landlord/Agents': '0', 'Deposit refund': ''}",AADocherty,Tenant,"No major issues that went unfixed.
The electrician who installed the lights installed them so the wiring was being burned through, but after a photographing the issue the landlord got an electrician around to replace it. 

The lock managed to latch while I was outside, requiring a locksmith, but I believe the locksmith concluded it was an issue with the lock used, and replaced it same day.

The RCD will sometimes trip when running the washing machine. This has been brought up with the landlord multiple times, but as a source can\'t be identified, this is still an ongoing issue. Though less frequent since turning off the immersion heater. The only time it has tripped has been when the washing machine has been running for what it\'s worth.

The kitchen is in the centre of the property, so gets no direct natural light. Only through a small window that\'s connected to the hallway opposite the door to the property, with an equally small window going to the stairwell. Or from the corridor/connecting room itself. Generally you\'re going to need the light on return using the kitchen.

The location is decently close to things - only about a fifteen minute walk to the centre of town, or to east Croydon station. The road itself can get quite busy and usually has some traffic. Being a converted building in a fairly industrial location, it\'s not the most obviously residential place.",11-04-2023 08:55 AM,£915
Flat 44 Settlers Court 17 Newport Avenue London E14,2,1,Nov 21 2016,Feb 2013 - Jul 2015,255 times,ciara88,4.5/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '', 'Safety': '0.75', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '0.5', 'Deposit refund': '0'}",Ciara88,Tenant,"Whilst we lived there we had a massive leak which took over 6 months to get sorted, mainly as the landlord and the building manager kept passing responsibility back and forth. This caused a mould issue. When we moved out, we were given a bill for double the deposit held: essentially the landlord had redecorated the house completely and was trying to charge us for it (to a total of more than £3,600). We had to take him to court as he refused to follow the legal guidelines for what is expected for deposit use, and after a year and three months of legal proceedings he agreed to a deal where we paid the £200 pound original deposit offer we had suggested when we moved out, and he returned the rest of the deposit. I would watch out with this property as the landlord is likely to try the same trick of massively inflated deposit requests with any future tenant. His requests were completely baseless, for example trying to charge 250 quid for a bed frame I found online for 50 pounds. It was a long, unpleasant and expensive process and the apartment isn\'t nice enough to justify dealing with a landlord like that.",21-11-2016 08:30 AM,£1450
